# Rime user dictionary
#@/db_name	wubi_moye
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1360
#@/user_id	emacs@mac
hxf 	些	c=1 d=1 t=1312
i 	不	c=34 d=5.29441 t=1360
iarb 	汇报	c=1 d=1 t=448
if 	法	c=1 d=0.377192 t=1360
ifc 	法	c=1 d=0.346456 t=1360
iflt 	潜力	c=1 d=0.597501 t=1360
ih 	小	c=8 d=1.05474 t=1360
ihcv 	婆	c=4 d=1.24941 t=1360
ijl 	温	c=1 d=1 t=703
im 	没	c=5 d=2.85281 t=1084
ipmq 	常见	c=1 d=1 t=1332
ipmq 	觉	c=1 d=1 t=1333
iptg 	学生	c=1 d=1 t=438
iptj 	觉得	c=1 d=1 t=1125
isyp 	漂亮	c=3 d=1.10407 t=1219
itd 	活	c=1 d=1 t=1009
itin 	活泼	c=2 d=1.92774 t=567
itx 	海	c=1 d=0.66034 t=1360
iwdl 	兴奋	c=2 d=1.8825 t=1267
iwfh 	兴趣	c=1 d=1 t=773
j 	是	c=22 d=4.81651 t=1360
jalt 	暴力	c=1 d=1 t=1119
jb 	最	c=2 d=1.01813 t=1353
jcx 	紧	c=1 d=0.229925 t=1360
jerr 	明白	c=2 d=1.66698 t=826
jf 	时	c=3 d=1.04186 t=1360
jfd 	里	c=5 d=0.965513 t=1360
jfwh 	时候	c=7 d=1.24211 t=1360
jgf 	旦	c=1 d=0.20089 t=1360
jh 	早	c=1 d=1 t=1300
jjyn 	日记	c=2 d=1.47515 t=1360
jney 	电脑	c=1 d=1 t=879
jofi 	显示	c=1 d=1 t=1182
jtg 	星	c=2 d=0.716447 t=1360
jykt 	影响	c=3 d=2.68944 t=1037
k 	中	c=1 d=1 t=548
kal 	喵	c=1 d=0.183599 t=1360
kb 	啊	c=5 d=3.34385 t=1115
kc 	吧	c=7 d=1.15755 t=1360
kcg 	吗	c=8 d=2.2657 t=1360
kdgt 	喊	c=1 d=0.32628 t=1360
ke 	吸	c=2 d=0.712874 t=1360
kexh 	吸引	c=1 d=1 t=695
kf 	叶	c=2 d=1.80654 t=564
kh 	中	c=1 d=1 t=608
khme 	蹦	c=1 d=1 t=945
kjqd 	虽然	c=2 d=0.256661 t=1360
kkh 	串	c=2 d=1.99501 t=936
klj 	别	c=3 d=2.00069 t=1096
klkl 	嘿嘿	c=2 d=0.58605 t=1360
kn 	叫	c=1 d=1 t=1287
knx 	呢	c=1 d=1 t=797
kqux 	兄弟	c=1 d=1 t=466
kr 	听	c=2 d=0.227638 t=1360
krug 	啦	c=1 d=1 t=1040
ktwu 	咱们	c=1 d=1 t=756
kv 	哪	c=2 d=1.12873 t=1090
kw 	只	c=2 d=1.03439 t=1180
lawo 	加工企业	c=1 d=1 t=562
lc 	轻	c=1 d=1 t=538
lg 	车	c=1 d=0.680451 t=1360
lk 	加	c=1 d=0.433874 t=1360
lkd 	回	c=1 d=1 t=446
lkfc 	回去	c=1 d=1 t=845
lkgo 	回来	c=3 d=1.98848 t=1301
lkrv 	架势	c=1 d=1 t=869
ll 	男	c=1 d=1 t=644
lltg 	男生	c=1 d=1 t=647
lnsh 	思想	c=1 d=1 t=778
lp 	边	c=1 d=1 t=1288
lpat 	连翘	c=13 d=4.12586 t=1146
lpk 	连	c=2 d=1.02065 t=1299
lsak 	困惑	c=1 d=0.856415 t=1360
ltth 	图片	c=2 d=1.97045 t=1183
lu 	较	c=1 d=1 t=558
lw 	办	c=1 d=1 t=503
mdf 	岩	c=11 d=4.16105 t=1156
mh 	由	c=2 d=0.615697 t=1360
mhh 	帖	c=1 d=1 t=961
mhkg 	贴	c=1 d=1 t=962
mj 	则	c=1 d=0.202909 t=1360
mmm 	山	c=1 d=0.339596 t=1360
mq 	风	c=1 d=1 t=483
mqj 	刚	c=2 d=1.90937 t=1303
mqtl 	见血	c=1 d=0.543351 t=1360
mttu 	几乎	c=1 d=1 t=576
nat 	懂	c=1 d=0.913931 t=1360
nb 	敢	c=1 d=1 t=1098
ndqd 	居然	c=1 d=0.145148 t=1360
ngc 	屋	c=1 d=0.323033 t=1360
ngi 	怀	c=2 d=1.89137 t=496
ngxf 	情绪	c=1 d=1 t=593
ngxt 	怀疑	c=2 d=1.90484 t=1346
nh 	收	c=2 d=1.0519 t=1360
nkah 	辟邪	c=1 d=0.141564 t=1360
nnh 	书	c=1 d=0.891366 t=1360
nnnn 	已	c=1 d=1 t=1213
nnw 	快	c=1 d=1 t=839
nnxc 	已经	c=2 d=1.29459 t=1360
nr 	怕	c=1 d=1 t=1130
nted 	必须	c=1 d=0.203926 t=1360
nu 	习	c=1 d=0.204948 t=1360
nuaj 	屏幕	c=1 d=1 t=932
nui 	飞	c=1 d=0.458406 t=1360
nv 	恨	c=1 d=0.460704 t=1360
ny 	心	c=4 d=2.66263 t=1337
nyiy 	惊	c=1 d=1 t=1331
nynn 	忙	c=2 d=1.956 t=462
nyu 	尽	c=1 d=0.786628 t=1360
nyxc 	心经	c=1 d=0.250324 t=1360
o 	为	c=2 d=0.62223 t=1360
od 	类	c=1 d=1 t=433
oqn 	炮	c=1 d=0.585669 t=1360
p 	这	c=24 d=3.75185 t=1360
pd 	害	c=1 d=1 t=760
pdh 	害	c=1 d=1 t=769
pewo 	家伙	c=1 d=0.923116 t=1360
pfq 	完	c=3 d=1.06661 t=1144
pfxx 	完毕	c=1 d=0.222017 t=1360
pg 	定	c=2 d=0.937378 t=1360
pgc 	室	c=1 d=1 t=505
pgj 	宣	c=1 d=1 t=1137
pgma 	宝典	c=1 d=0.126818 t=1360
pgn 	写	c=3 d=1.23106 t=1232
pju 	冥	c=1 d=0.364219 t=1360
pp 	之	c=3 d=0.90692 t=1360
ps 	宁	c=2 d=0.34324 t=1360
pssk 	宁可	c=1 d=0.163654 t=1360
pu 	实	c=1 d=0.506617 t=1360
puhc 	被	c=3 d=1.33823 t=1360
pv 	安	c=7 d=2.23003 t=1327
pvwf 	案值	c=1 d=1 t=817
pwjq 	容易	c=1 d=0.690734 t=1360
pwqd 	突然	c=2 d=1.72253 t=1124
pwyg 	宿主	c=2 d=0.401829 t=1360
pyal 	神功	c=1 d=0.366045 t=1360
pyee 	礼貌	c=1 d=0.148823 t=1360
pyj 	神	c=1 d=1 t=1215
q 	我	c=25 d=3.67721 t=1360
qaj 	错	c=1 d=1 t=1359
qbbw 	凶险	c=1 d=0.246597 t=1360
qd 	然	c=4 d=1.27718 t=1360
qdbw 	危险	c=1 d=1 t=782
qev 	解	c=1 d=1 t=733
qf 	针	c=2 d=1.11759 t=1360
qh 	外	c=3 d=0.756361 t=1360
qhtg 	外甥	c=1 d=1 t=492
qkd 	句	c=1 d=1 t=486
qkpb 	名字	c=1 d=0.704688 t=1360
qkqq 	够	c=1 d=1 t=906
qn 	包	c=2 d=1.09395 t=1193
qq 	多	c=5 d=0.301457 t=1360
qt 	儿	c=8 d=1.61904 t=1360
qtbl 	猛	c=1 d=1 t=1329
qvhc 	皱	c=1 d=1 t=1225
qvny 	急忙	c=1 d=1 t=891
qvte 	键盘	c=1 d=1 t=930
r 	的	c=42 d=7.60282 t=1360
ra 	找	c=3 d=0.394554 t=1360
rbtl 	报务	c=1 d=0.995012 t=1360
rc 	反	c=3 d=2.75451 t=709
rcn 	把	c=3 d=0.742694 t=1360
rer 	摇	c=1 d=1 t=1216
rfm 	质	c=1 d=1 t=711
rfsy 	技术	c=1 d=1 t=660
rg 	后	c=5 d=3.02487 t=1244
rgw 	兵	c=1 d=0.182684 t=1360
rhf 	看	c=16 d=2.87099 t=1360
rhxn 	年纪	c=1 d=0.548812 t=1360
rjg 	担	c=1 d=0.199888 t=1360
rm 	抽	c=5 d=0.590133 t=1360
rmbc 	抽取	c=1 d=0.201897 t=1360
rmuq 	抽奖	c=1 d=0.22091 t=1360
rov 	搂	c=1 d=1 t=980
rpw 	控	c=1 d=1 t=705
rqip 	欣赏	c=1 d=1 t=1258
rrg 	拍	c=2 d=1.99005 t=790
rs 	打	c=1 d=1 t=717
rt 	手	c=2 d=1.67368 t=1001
rtfp 	挺	c=1 d=1 t=489
rtsy 	手术	c=1 d=1 t=425
rtty 	插入	c=1 d=1 t=1174
rwyg 	推	c=2 d=0.351194 t=1360
ryj 	挤	c=1 d=1 t=1157
s 	要	c=20 d=3.14016 t=1360
sb 	李	c=1 d=0.45612 t=1360
sdbb 	椅子	c=1 d=1 t=905
sds 	椅	c=2 d=1.96079 t=1159
sfhg 	植	c=1 d=1 t=742
sg 	本	c=1 d=0.771052 t=1360
sgmj 	槽	c=1 d=0.232236 t=1360
sh 	相	c=1 d=1 t=557
